"obs","words","count"
1,"알리바바",12281
2,"기업",7962
3,"달러",7298
4,"미국",5958
5,"이커머스",5955
6,"회장",5860
7,"투자",5614
8,"업체",5421
9,"금액",5189
10,"최대",4683
11,"시장",4472
12,"세계",3495
13,"조원",3185
14,"인수",3130
15,"인터넷",2878
16,"사업",2604
17,"페이",2589
18,"지난해",2551
19,"서비스",2507
20,"지분",2401
21,"회사",2255
22,"상장",2125
23,"온라인",2086
24,"인도",2078
25,"규모",2038
26,"들이",1997
27,"마윈",1876
28,"올해",1676
29,"한국",1648
30,"국의",1633
31,"최고",1604
32,"뱅크",1597
33,"하기",1593
34,"이번",1575
35,"소프트",1565
36,"게임",1544
37,"가치",1504
38,"성장",1464
39,"the",1453
40,"보도",1441
41,"com",1409
42,"경제",1368
43,"글로벌",1341
44,"결제",1305
45,"매출",1263
46,"일본",1244
47,"계획",1239
48,"그룹",1223
49,"위안",1179
50,"진출",1169
51,"ipo",1132
52,"보유",1130
53,"and",1130
54,"이상",1129
55,"이후",1129
56,"증시",1117
57,"거래",1114
58,"전망",1105
59,"대표",1104
60,"분야",1098
61,"업계",1079
62,"기록",1063
63,"때문",1032
64,"정부",1032
65,"성공",1030
66,"텐센트",1021
67,"발표",1015
68,"국내",1009
69,"트럼프",992
70,"판매",988
71,"주식",972
72,"플랫폼",951
73,"관련",934
74,"뉴스",902
75,"애플",887
76,"창업자",884
77,"제공",877
78,"자산",868
79,"가운데",837
80,"설립",836
81,"평가",832
82,"경쟁",824
83,"시작",800
84,"산업",800
85,"이날",799
86,"분석",797
87,"스타트",796
88,"바이",789
89,"ceo",787
90,"아시",779
91,"기술",777
92,"예정",756
93,"확대",749
94,"무단",749
95,"브랜드",745
96,"전재",745
97,"삼성",743
98,"펀드",743
99,"해외",740
100,"금융",739
101,"투자자",737
102,"웨이",729
103,"메신저",729
104,"주주",728
105,"시가총액",727
106,"하지",724
107,"홍콩",720
108,"저널",716
109,"자금",707
110,"전자",703
111,"오바",698
112,"라인",697
113,"매각",695
114,"제품",689
115,"샤오",687
116,"사이트",684
117,"개발",678
118,"월스트리트",677
119,"관심",675
120,"엔터테인먼트",674
121,"재배포",674
122,"영화",669
123,"경영자",658
124,"운영",656
125,"우리",649
126,"부문",648
127,"기업공개",648
128,"스냅",646
129,"포함",645
130,"확보",644
131,"추진",637
132,"설명",626
133,"스북",625
134,"예상",619
135,"은행",619
136,"스마트폰",611
137,"가능성",609
138,"부동산",593
139,"증가",592
140,"상품",590
141,"지적",588
142,"자리",587
143,"기준",574
144,"부호",572
145,"고객",566
146,"검색",554
147,"대통령",554
148,"아마존",551
149,"텐센트는",549
150,"조달",544
151,"짝퉁",541
152,"순위",539
153,"nhn",533
154,"경우",532
155,"재산",530
156,"주가",529
157,"기반",527
158,"야후",527
159,"증권",525
160,"이베",521
161,"수준",519
162,"알리",516
