"obs","words","count"
1,"수출",13802
2,"기업",13002
3,"이커머스",10559
4,"한국",10075
5,"지원",9419
6,"무역",7320
7,"중소기업",6916
8,"산업",6913
9,"경제",6638
10,"시장",6563
11,"협력",6313
12,"fta",5116
13,"분야",5044
14,"확대",4923
15,"사업",4889
16,"하기",4582
17,"진출",4552
18,"이번",4480
19,"온라인",4316
20,"일본",4201
21,"우리",4031
22,"개최",3937
23,"정부",3915
24,"추진",3854
25,"해외",3810
26,"투자",3782
27,"대통령",3567
28,"활용",3455
29,"계획",3436
30,"협상",3415
31,"글로벌",3248
32,"서비스",3108
33,"강화",3047
34,"양국",3040
35,"활성화",3021
36,"지역",2857
37,"장관",2826
38,"물류",2790
39,"상품",2765
40,"관련",2732
41,"국내",2717
42,"교육",2708
43,"세계",2693
44,"진행",2667
45,"마케팅",2653
46,"협회",2564
47,"참석",2546
48,"체결",2537
49,"운영",2474
50,"회의",2469
51,"올해",2464
52,"금액",2428
53,"참여",2408
54,"센터",2375
55,"예정",2360
56,"서울",2333
57,"방안",2269
58,"구축",2212
59,"들이",2207
60,"제품",2198
61,"개발",2148
62,"달러",2112
63,"마련",2093
64,"적극",2071
65,"성장",2032
66,"행사",1962
67,"이날",1953
68,"논의",1946
69,"판매",1941
70,"대상",1922
71,"com",1917
72,"전략",1904
73,"규모",1877
74,"국제",1834
75,"대표",1830
76,"중소",1828
77,"기술",1823
78,"알리바바",1819
79,"비즈니스",1801
80,"지난해",1795
81,"발전",1772
82,"통상",1740
83,"제공",1731
84,"다양",1722
85,"미국",1686
86,"창업",1686
87,"뉴스",1681
88,"방문",1673
89,"공동",1659
90,"주요",1638
91,"진흥",1635
92,"중견",1623
93,"업체",1608
94,"우수",1604
95,"자원",1603
96,"국가",1580
97,"상담회",1576
98,"노력",1573
99,"유통",1558
100,"관세",1529
101,"최대",1522
102,"중남미",1520
103,"회장",1510
104,"마을",1508
105,"현지",1493
106,"필요",1478
107,"혁신",1476
108,"포럼",1473
109,"전문",1449
110,"정책",1428
111,"강조",1367
112,"플랫폼",1362
113,"금융",1356
114,"쇼핑몰",1345
115,"육성",1345
116,"공단",1344
117,"우리나라",1329
118,"성과",1322
119,"중심",1300
120,"개사",1300
121,"참가",1293
122,"창조",1291
123,"정보화",1246
124,"인천",1242
125,"자유무역협정",1240
126,"창출",1226
127,"관계자",1222
128,"발표",1221
129,"대응",1201
130,"타결",1191
131,"개국",1190
132,"기관",1186
133,"합의",1181
134,"프라",1179
135,"소비재",1177
136,"선정",1173
137,"기회",1166
138,"경쟁력",1163
139,"품목",1151
140,"조성",1145
141,"식품",1143
142,"통관",1140
143,"미래",1136
144,"3국",1120
145,"기반",1118
146,"청년",1117
147,"이상",1116
148,"환경",1113
149,"협정",1113
150,"설명",1107
151,"농식품",1107
152,"발굴",1092
153,"관계",1083
154,"kotra",1082
155,"시스템",1079
156,"아세안",1078
157,"연계",1077
158,"국의",1073
159,"교류",1070
160,"이라",1068
161,"mou",1041
162,"인도",1040
163,"무단",1040
164,"전재",1039
165,"문화",1036
166,"홍보",1034
167,"개척",1032
168,"정보",1032
169,"도시",1028
170,"코트",1024
171,"연구",1022
172,"소비",1012
173,"평가",1006
174,"계기",1005
175,"전문가",1005
176,"재배포",1001
177,"차관",1001
178,"에너지",996
179,"중요",987
180,"효과",986
181,"교역",981
182,"전망",980
183,"디지털",978
184,"프로그램",976
185,"증가",969
186,"자유",967
187,"농업",967
188,"경제협력",962
189,"수준",958
190,"조원",954
191,"변화",954
192,"개선",953
193,"성공",952
194,"부총리",944
195,"내용",942
196,"유망",941
197,"이후",940
198,"농산물",937
199,"방식",935
200,"해수",929
201,"전자",928
202,"부산",928
203,"구성",921
204,"정상",914
205,"과정",906
206,"포함",905
207,"대한",890
208,"프로젝트",884
209,"관리",882
210,"한류",880
211,"결과",879
212,"가운데",873
213,"관광",870
214,"일자리",870
215,"고용",860
216,"역내",858
217,"거래",844
218,"관심",843
219,"사장",839
220,"박근혜",826
221,"확산",824
222,"상담",824
223,"목표",822
224,"정상회의",821
225,"촉진",820
226,"문제",818
227,"발효",818
228,"경기",810
229,"실시",806
230,"기준",801
231,"확보",799
232,"환경부",795
233,"집중",791
234,"뉴시스",789
235,"방침",785
236,"간담회",784
237,"베이",782
238,"상황",778
239,"입점",778
240,"협약",774
241,"인터넷",772
242,"기획",771
243,"농업인",770
244,"시작",767
245,"활동",766
246,"역할",762
247,"화장품",759
248,"생산",758
249,"오후",756
250,"정상회담",754
251,"설명회",751
252,"업무협약",745
253,"경우",744
254,"내년",740
255,"내수",738
256,"newsis",735
257,"아시",733
258,"의료",731
259,"소개",730
260,"개방",729
261,"초청",726
262,"비롯",721
263,"안전",721
264,"한국의",721
265,"공사",719
266,"가능",716
267,"역량",713
268,"청와대",713
269,"전국",710
270,"그룹",709
271,"yna",709
272,"체계",706
273,"공유",703
274,"해소",703
275,"베트남",700
276,"순방",700
277,"현장",692
278,"마켓",690
279,"통합",677
280,"희망",674
281,"제시",670
282,"웨이",662
283,"의견",660
284,"제안",657
285,"세미나",650
286,"세상",649
287,"페루",643
288,"규제",642
289,"멕시코",639
290,"자리",636
291,"대책",635
292,"전체",629
293,"스마트",627
294,"수입",627
295,"해외진출",624
296,"네이버",620
297,"콜롬비아",620
298,"모색",619
299,"인증",614
300,"중소기업청",608
301,"배송",607
302,"소비자",604
303,"자동차",604
304,"주제",601
305,"사회",599
306,"민간",598
307,"네트워크",598
308,"인력",597
309,"시아",596
310,"지속적",596
311,"바이어",595
312,"기존",593
313,"유치",592
314,"도입",590
315,"업계",589
316,"기간",587
317,"하면",585
318,"총리",583
319,"때문",580
320,"브라",579
321,"구체",577
322,"달성",577
323,"가능성",575
324,"매칭",575
325,"내수시장",574
326,"분석",573
327,"기대",570
328,"협의",569
329,"설립",566
330,"단지",563
331,"맞춤형",563
332,"스탠드",563
333,"신산업",562
334,"업무",562
335,"은행",559
336,"계약",559
337,"기재",558
338,"컨설팅",557
339,"항만",555
340,"국은",551
341,"이용",550
342,"예상",547
343,"코리",547
344,"라인",542
345,"해양",539
346,"대비",538
347,"지속",537
348,"지방",537
349,"하이",536
350,"양해각서",535
351,"제조업",533
352,"사례",533
353,"재정",531
354,"설치",529
355,"오전",528
356,"도움",525
357,"모델",525
358,"채널",525
359,"시간",524
360,"박람회",524
361,"일정",522
362,"홈페이지",519
363,"비중",518
364,"만큼",517
365,"기념",516
366,"네시",514
367,"청장",514
368,"핵심",508
369,"동반자",508
370,"건설",506
371,"신규",502
372,"회복",501
373,"대기업",499
374,"오프",497
375,"rcep",497
376,"과학",496
377,"경쟁",494
378,"방향",492
379,"제도",490
380,"화해",489
381,"전시회",488
382,"양허",485
383,"apec",485
384,"대학",482
385,"구매",481
386,"차원",480
387,"경험",479
388,"교환",479
389,"협업",478
390,"부문",477
391,"협의회",477
392,"장벽",476
393,"주력",475
394,"매출",475
395,"바탕",475
396,"보험",475
397,"삼성",470
398,"의미",469
399,"농촌",469
400,"ict",468
401,"안정",467
402,"역직",466
403,"상반기",466
404,"단계",465
405,"절차",464
406,"종합",463
407,"위원회",462
408,"개설",460
409,"지식",460
410,"쇼핑",459
411,"점검",459
412,"과제",458
413,"유통망",456
414,"해결",455
415,"시대",455
416,"원산지",455
417,"공식",451
418,"gmd",449
419,"부처",447
420,"하나",447
421,"이란",446
422,"사항",442
423,"tpp",441
424,"칠레",440
425,"브랜드",438
426,"국민",437
427,"하지",437
428,"오늘",436
429,"상무",434
430,"양성",433
431,"지정",432
432,"해외시장",431
433,"준비",430
434,"당부",430
435,"추가",429
436,"실장",428
437,"신설",427
438,"여건",427
439,"최고",426
440,"외국",424
441,"회원국",424
442,"가치",423
443,"체험",423
444,"농가",422
445,"공략",421
446,"농수산",417
447,"fnnews",416
448,"사진",415
449,"사이트",412
450,"수립",410
451,"감소",409
452,"수상",406
453,"기록",405
454,"포괄적",404
455,"생각",402
456,"전환",400
457,"스타트",400
458,"이젠",400
459,"특화",400
460,"동향",399
461,"중동",397
462,"인구",396
463,"양국간",396
464,"실질적",395
465,"대통령의",395
466,"보호",394
467,"공급",393
468,"어려움",393
469,"대형",392
470,"특별",392
471,"전시",391
472,"그동안",387
473,"뉴시",387
474,"지난달",386
475,"해서",385
476,"단체",385
477,"신청",384
478,"다변화",384
479,"각종",383
480,"세종",383
481,"시설",382
482,"최초",380
483,"번째",379
484,"파견",377
485,"공정위",377
486,"상하",376
487,"하반기",374
488,"호텔",371
489,"회담",370
490,"경영",370
491,"향상",369
492,"시행",369
493,"민국",369
494,"동북",368
495,"처음",367
496,"통계",367
497,"asiae",364
498,"고객",364
499,"페이",363
500,"현황",363
501,"기능",362
502,"신고",362
503,"코엑스",360
504,"여성",359
505,"회사",358
506,"융합",358
507,"sns",358
508,"홈쇼핑",357
509,"차례",356
510,"주목",355
511,"콘텐츠",353
512,"외교",353
513,"경제사절단",353
514,"동아",352
515,"노하우",352
516,"세관",351
517,"국무회의",349
518,"규범",348
