"obs","words","count"
1,"기업",4558
2,"미국",3452
3,"이커머스",3359
4,"시장",2694
5,"창업",2669
6,"온라인",2565
7,"업체",2543
8,"달러",2478
9,"들이",2451
10,"대표",2433
11,"금액",2376
12,"서비스",2338
13,"사업",2266
14,"회사",2256
15,"고객",2161
16,"세계",2103
17,"투자",1885
18,"하기",1814
19,"제품",1738
20,"판매",1705
21,"아마존",1687
22,"아마존은",1593
23,"때문",1512
24,"성공",1502
25,"최대",1476
26,"사람",1446
27,"직원",1446
28,"시작",1408
29,"배송",1400
30,"상품",1377
31,"아마존이",1359
32,"쇼핑몰",1354
33,"한국",1344
34,"성장",1293
35,"경제",1264
36,"브랜드",1238
37,"매장",1224
38,"아마",1211
39,"스타트",1206
40,"운영",1190
41,"존의",1169
42,"지난해",1165
43,"알리바바",1144
44,"매출",1143
45,"교육",1100
46,"하지",1090
47,"최고",1089
48,"생각",1083
49,"제공",1076
50,"인터넷",1065
51,"우리",1058
52,"인수",1058
53,"이상",1053
54,"시간",1020
55,"다양",1016
56,"소비자",997
57,"가격",984
58,"글로벌",983
59,"기술",976
60,"계획",974
61,"회장",960
62,"분야",943
63,"라인",921
64,"개발",913
65,"지원",911
66,"ceo",910
67,"전문",899
68,"오프",882
69,"올해",880
70,"자신",863
71,"필요",849
72,"com",849
73,"정도",842
74,"서울",838
75,"하면",834
76,"지역",812
77,"문제",811
78,"산업",791
79,"배달",789
80,"조원",776
81,"창업자",771
82,"가치",771
83,"국내",760
84,"관련",757
85,"이번",753
86,"업계",746
87,"규모",740
88,"이후",732
89,"설명",719
90,"진출",718
91,"경우",705
92,"경영",705
93,"전략",697
94,"활용",696
95,"진행",695
96,"하나",672
97,"유통",671
98,"이용",669
99,"일자리",664
100,"경험",653
101,"경쟁",651
102,"과정",640
103,"혁신",640
104,"도시",639
105,"쇼핑",632
106,"분석",629
107,"중요",628
108,"페이",626
109,"확대",623
110,"대학",623
111,"평가",622
112,"해외",621
113,"푸드",621
114,"구매",616
115,"발표",605
116,"정부",604
117,"센터",602
118,"기존",598
119,"가능",597
120,"관심",596
