"obs","words","count"
1,"기업",6317
2,"서비스",5169
3,"기술",4876
4,"시장",4582
5,"이커머스",3218
6,"개발",3010
7,"사업",2944
8,"세계",2922
9,"업체",2641
10,"인터넷",2606
11,"글로벌",2573
12,"전자",2401
13,"플랫폼",2358
14,"국내",2357
15,"산업",2350
16,"제품",2310
17,"분야",2253
18,"미국",2203
19,"스마트",2105
20,"데이터",2090
21,"한국",2042
22,"삼성",2021
23,"들이",1894
24,"제공",1890
25,"기반",1888
26,"활용",1875
27,"투자",1724
28,"알리바바",1703
29,"대표",1680
30,"클라우드",1660
31,"다양",1630
32,"자동차",1625
33,"지원",1609
34,"하기",1607
35,"스타트",1583
36,"금액",1522
37,"관련",1521
38,"최대",1510
39,"성장",1496
40,"인공지능",1480
41,"혁신",1469
42,"로봇",1386
43,"계획",1384
44,"분석",1365
45,"스마트폰",1349
46,"디지털",1329
47,"미래",1316
48,"올해",1274
49,"경제",1260
50,"시스템",1250
51,"고객",1249
52,"판매",1244
53,"회사",1209
54,"정보",1190
55,"출시",1168
56,"전략",1160
57,"지난해",1113
58,"달러",1109
59,"애플",1108
60,"가능",1094
61,"기능",1076
62,"구축",1056
63,"업계",1047
64,"솔루션",1040
65,"전망",1021
66,"사물",1020
67,"진출",1019
68,"시작",1017
69,"연구",1017
70,"확대",1007
71,"이용",1003
72,"물류",997
73,"ict",983
74,"사용",980
75,"온라인",979
76,"때문",975
77,"이번",965
78,"센터",952
79,"정부",944
80,"기존",941
81,"빅데이터",932
82,"예정",928
83,"iot",924
84,"필요",914
85,"시대",897
86,"규모",896
87,"페이",891
88,"아마존",874
89,"이상",868
90,"진행",865
91,"적용",862
92,"com",854
93,"협력",853
94,"사용자",843
95,"모델",837
96,"비즈니스",829
97,"주행",827
98,"샤오",820
99,"서울",812
100,"해외",799
101,"창업",790
102,"발전",783
103,"일본",771
104,"발표",770
105,"변화",767
106,"경쟁",763
107,"융합",760
108,"연결",759
109,"운영",752
110,"자율",751
111,"전문",747
112,"공개",744
113,"상품",741
114,"최고",735
115,"현실",735
116,"소프트웨어",732
117,"성공",721
118,"설명",696
119,"탑재",693
120,"산업혁명",692
121,"스피커",687
122,"결제",681
123,"중심",679
124,"매출",678
125,"하면",676
126,"핵심",673
127,"게임",671
128,"주요",664
129,"음성",663
130,"사람",660
131,"소비자",656
132,"우리",645
133,"확보",641
134,"텔레콤",640
135,"유통",635
136,"경쟁력",633
137,"특허",627
138,"생태계",627
139,"관리",618
140,"환경",617
141,"라인",606
142,"인수",603
143,"강화",602
144,"가전",601
145,"콘텐츠",601
146,"금융",598
147,"추진",597
148,"가상",589
149,"창조",585
150,"수준",584
151,"국의",584
152,"쇼핑",580
153,"프로그램",578
154,"마케팅",575
155,"행사",571
156,"방식",558
157,"교육",554
158,"전문가",553
159,"하지",550
160,"가격",549
161,"관계자",547
162,"참여",545
163,"프라",544
164,"영역",542
165,"구매",537
166,"예상",536
167,"인도",536
168,"자체",535
169,"지역",533
170,"설립",531
171,"브랜드",528
172,"뉴스",527
173,"소개",527
174,"네트워크",527
175,"부문",526
176,"무단",525
177,"회장",523
178,"이라",521
179,"증가",516
180,"강조",516
181,"전재",515
182,"주목",512
183,"문제",512
184,"전기",512
185,"과학",510
186,"통신",509
187,"검색",509
188,"대상",508
189,"하나",507
190,"시간",506
191,"중요",504
192,"조원",503
193,"재배포",503
194,"생산",498
195,"관심",496
196,"인식",495
197,"차량",494
198,"이후",490
199,"도입",486
200,"제작",485
201,"평가",479
202,"가치",479
203,"목표",476
204,"비롯",476
205,"교수",473
206,"이용자",473
207,"경우",472
208,"마련",472
209,"공유",472
210,"센서",468
211,"집중",467
212,"영상",467
213,"적극",465
214,"내년",461
215,"아마존은",461
216,"아마",459
217,"그룹",458
218,"보유",457
219,"생활",457
220,"최초",457
221,"결합",455
222,"확장",452
223,"존의",444
224,"디자인",441
225,"기회",435
226,"보안",435
227,"역할",432
228,"소비",431
