"obs","words","count"
1,"기업",4529
2,"정부",4153
3,"경제",3975
4,"이커머스",3607
5,"규제",3387
6,"시장",3207
7,"미국",2837
8,"산업",2679
9,"하기",2542
10,"투자",2526
11,"한국",2513
12,"관련",2465
13,"우리",2127
14,"거래",1944
15,"금액",1912
16,"경우",1794
17,"국내",1743
18,"인터넷",1729
19,"들이",1690
20,"추진",1650
21,"분야",1625
22,"서비스",1607
23,"가격",1603
24,"확대",1602
25,"계획",1568
26,"지원",1564
27,"강화",1530
28,"문제",1525
29,"개선",1502
30,"정책",1461
31,"금융",1409
32,"성장",1381
33,"사업",1363
34,"필요",1345
35,"세계",1313
36,"공정위",1271
37,"때문",1266
38,"소비",1258
39,"주유소",1253
40,"업체",1223
41,"서울",1201
42,"지난해",1176
43,"기준",1164
44,"국가",1151
45,"사업자",1143
46,"올해",1131
47,"하지",1129
48,"판매",1112
49,"도입",1107
50,"제도",1092
51,"마련",1072
52,"활성화",1066
53,"대통령",1041
54,"무역",1035
55,"지적",1027
56,"대상",1026
57,"방안",1006
58,"경쟁",1005
59,"내용",1004
60,"이상",993
61,"기술",989
62,"상황",980
63,"수출",978
64,"개발",978
65,"이번",958
66,"글로벌",944
67,"소비자",921
68,"발표",909
69,"디지털",893
70,"개정",877
71,"수준",876
72,"발전",871
73,"업계",868
74,"국민",867
75,"해외",862
76,"온라인",851
77,"조사",846
78,"일본",843
79,"이후",838
80,"규모",832
81,"강조",831
82,"석유",829
83,"대표",827
84,"보호",824
85,"혁신",820
86,"정보",815
87,"효과",814
88,"중소기업",793
89,"포함",789
90,"국회",782
91,"국제",768
92,"위반",748
93,"전망",745
94,"사회",743
95,"분석",739
96,"관리",732
97,"회의",728
98,"관계자",727
99,"미래",725
100,"기존",720
101,"하면",711
102,"주요",696
103,"활용",695
104,"수입",694
105,"예정",691
106,"자동차",690
107,"주장",686
108,"노력",683
109,"결과",678
110,"변화",677
111,"연구",676
112,"적용",674
113,"증가",673
114,"상품",671
115,"최대",669
116,"시행",669
117,"규정",669
118,"설명",658
119,"이날",658
120,"우리나라",651
121,"가능",650
122,"운영",648
123,"조치",647
124,"요구",645
125,"이용",642
126,"제공",641
127,"규제개혁",641
128,"완화",641
129,"중요",639
130,"행위",639
131,"가능성",638
132,"안전",638
133,"com",635
134,"fta",632
135,"내년",628
136,"평가",628
137,"시스템",623
138,"방식",621
139,"은행",620
140,"일자리",620
141,"대응",620
142,"우려",619
143,"외국",617
144,"tpp",616
145,"과징금",612
146,"국의",611
147,"안정",610
148,"제한",609
149,"물류",606
150,"회사",605
151,"시작",604
152,"지역",600
153,"의원",599
154,"공급",595
155,"협력",595
156,"적극",591
157,"일부",589
158,"협상",585
159,"개정안",584
160,"사건",581
161,"중심",578
162,"발생",577
163,"방침",575
164,"진행",570
165,"사용",563
166,"전자",560
167,"영향",559
168,"이라",553
169,"뉴스",551
170,"유통",550
171,"가운데",550
172,"추가",550
173,"기반",549
174,"달러",548
175,"검토",546
176,"반영",546
177,"결정",545
178,"대책",542
179,"전체",542
180,"환경",541
181,"개혁",536
182,"참여",530
183,"부담",528
184,"제품",527
185,"경쟁력",523
186,"도시",522
187,"다양",520
188,"부과",519
189,"과제",518
190,"알뜰",518
191,"전문",512
192,"해결",511
193,"구축",505
194,"창출",505
195,"국토",505
196,"시설",504
197,"논의",504
198,"장관",502
199,"위원회",502
200,"부처",500
201,"세금",500
202,"업종",499
203,"처리",495
204,"입장",493
205,"법률",492
206,"촉진",491
207,"예상",489
208,"과정",488
209,"관계",486
210,"삼성",484
211,"허용",484
212,"알리바바",480
213,"목표",480
214,"이유",478
215,"활동",477
216,"체계",474
217,"의무",472
218,"업무",471
219,"트럼프",471
220,"부동산",467
221,"하나",467
222,"신고",464
223,"창조",462
224,"당국",461
225,"대비",458
226,"개인정보",458
227,"협정",457
228,"대기업",452
229,"집중",451
230,"교수",449
231,"전략",448
232,"전환",447
233,"진출",446
234,"절차",445
235,"정도",443
236,"정유사",440
237,"시간",439
