"obs","words","count"
1,"서비스",8655
2,"상품",5367
3,"온라인",4726
4,"고객",4639
5,"이커머스",4394
6,"쇼핑",4052
7,"금액",3960
8,"시장",3615
9,"제공",3379
10,"배송",2857
11,"라인",2804
12,"결제",2766
13,"이용",2539
14,"쇼핑몰",2475
15,"구매",2471
16,"마켓",2295
17,"오프",2201
18,"페이",2144
19,"판매",2085
20,"국내",2056
21,"기업",2041
22,"업체",1902
23,"사업",1785
24,"다양",1723
25,"플랫폼",1694
26,"이상",1691
27,"오픈",1664
28,"마케팅",1644
29,"소비자",1585
30,"할인",1579
31,"운영",1558
32,"매출",1556
33,"카카오",1551
34,"들이",1530
35,"광고",1529
36,"카드",1502
37,"검색",1496
38,"하기",1481
39,"업계",1416
40,"지난해",1407
41,"정보",1376
42,"해외",1349
43,"확대",1329
44,"제품",1324
45,"가능",1278
46,"대표",1277
47,"쿠팡",1265
48,"매장",1239
49,"활용",1200
50,"마트",1178
51,"진행",1161
52,"사용",1159
53,"주문",1156
54,"계획",1154
55,"인터넷",1152
56,"성장",1151
57,"최대",1149
58,"이용자",1142
59,"기반",1125
60,"유통",1117
61,"올해",1082
62,"하면",1078
63,"기존",1075
64,"분석",1066
65,"가격",1050
66,"증가",1040
67,"강화",1011
68,"관계자",985
69,"한국",985
70,"시작",982
71,"시간",976
72,"o2o",968
73,"시스템",963
74,"이번",963
75,"대상",941
76,"채널",931
77,"전략",922
78,"때문",920
79,"소비",918
80,"글로벌",872
81,"기능",864
82,"출시",855
83,"com",846
84,"혜택",837
85,"네이버",833
86,"솔루션",827
87,"전문",822
88,"경우",821
89,"경쟁",811
90,"사용자",792
91,"기술",791
92,"도입",790
93,"무료",787
94,"관련",786
95,"브랜드",783
96,"택배",777
97,"예정",772
98,"지원",771
99,"통합",767
100,"비중",766
101,"쿠폰",762
102,"백화점",761
103,"알리바바",760
104,"소셜커머스",759
105,"사이트",749
106,"사업자",743
107,"설명",730
108,"이벤트",730
109,"구축",728
110,"규모",726
111,"디지털",719
112,"전망",704
113,"여행",695
114,"행사",685
115,"대형",683
116,"필요",680
117,"미국",671
118,"분야",671
119,"간편",665
120,"투자",654
121,"배달",651
122,"확보",646
123,"개발",639
124,"베이",635
125,"제휴",631
126,"전체",629
127,"진출",628
128,"업종",624
129,"서울",623
130,"세계",619
131,"회사",599
132,"중심",596
133,"홈쇼핑",594
134,"기간",590
135,"홈페이지",588
136,"추가",588
137,"하나",577
138,"결과",568
139,"식품",566
140,"메신저",565
141,"대비",560
142,"다음",557
143,"관리",556
144,"모델",552
145,"지역",543
146,"기록",541
147,"주요",537
148,"효과",536
149,"커머스",533
150,"포인트",532
151,"뉴스",531
152,"판매자",530
153,"방식",528
154,"신한",520
155,"거래",519
156,"물류",517
157,"일본",516
158,"sns",516
159,"확인",515
160,"코리",515
161,"개월",513
162,"추천",510
163,"성공",506
164,"데이터",503
165,"거래액",502
166,"하지",501
167,"환경",498
168,"게임",490
169,"무단",486
170,"기준",485
171,"전재",482
172,"비즈니스",475
173,"수익",471
174,"이라",468
175,"편의점",468
176,"스마트폰",466
177,"경쟁력",462
178,"재배포",455
179,"변화",452
180,"해당",446
181,"전용",443
182,"영역",439
183,"자체",439
184,"연결",437
185,"가운데",433
186,"국민카드",433
187,"최초",429
188,"트렌드",429
189,"적용",425
190,"수준",424
191,"연계",423
192,"차별화",420
193,"동영상",420
194,"회원",420
195,"이후",418
196,"경험",416
197,"등록",413
198,"부문",413
199,"반품",410
200,"형태",409
201,"평균",406
202,"방문",406
203,"콘텐츠",403
204,"비용",403
205,"생활",401
206,"방송",399
207,"센터",397
208,"물건",395
209,"선물",393
210,"스북",390
211,"예상",389
212,"활성화",389
213,"산업",382
214,"발표",382
215,"전국",382
216,"만족",378
217,"프로모션",378
218,"번가",376
219,"경제",375
220,"달러",374
221,"입점",373
222,"인기",372
223,"수수료",372
224,"etnews",372
225,"아마존",370
226,"조원",369
227,"메이크샵",367
228,"적립",366
229,"가맹점",365
230,"협력",364
231,"스마트",363
232,"비교",363
233,"실시간",363
234,"유통업계",359
235,"창업",359
236,"패션",358
237,"신선",357
238,"관심",357
239,"전자",352
240,"준비",352
241,"최고",350
242,"음식",350
243,"당일",349
244,"소개",348
245,"그룹",345
246,"확장",345
247,"추진",343
248,"상황",338
249,"교육",334
250,"자동",333
251,"집중",330
252,"평가",330
253,"보유",329
254,"중소기업",328
255,"상품권",327
256,"개선",325
257,"실시",324
258,"선택",323
259,"주목",320
260,"핵심",319
261,"할부",319
262,"아이",319
263,"신세계",319
264,"결합",317
265,"편리",316
266,"참여",316
267,"전년",315
268,"사진",314
269,"신규",312
270,"위치",312
271,"인수",311
272,"금융",309
273,"동안",306
274,"자사",306
275,"사람",304
276,"전통",304
277,"적극",303
278,"정도",303
279,"최적화",303
280,"네이버는",303
281,"대한",301
282,"클릭",301
283,"우정",301
284,"공유",299
285,"포털",298
286,"맞춤형",298
287,"시대",296
288,"제작",293
289,"예약",292
290,"기획",291
291,"노력",290
292,"체결",290
293,"택시",288
294,"구입",287
295,"티커머스",287
296,"가지",285
297,"타임스",285
298,"유통업체",284
299,"중요",284
300,"강남",284
301,"마련",283
302,"과정",282
303,"애플리케이션",282
304,"옥션",282
305,"누구",281
306,"이유",279
307,"편의성",279
308,"이미지",278
309,"만큼",277
310,"비롯",277
311,"문제",276
312,"일반",273
313,"전환",272
314,"미래",271
315,"조사",270
316,"지난달",270
317,"해주",270
318,"sk플래닛",270
319,"카테고리",270
320,"스토어",268
321,"노출",267
322,"여성",264
323,"활동",263
324,"돌파",263
325,"저렴",263
326,"문화",263
327,"개인",263
328,"지속적",262
329,"빅데이터",262
330,"하루",261
331,"발생",260
332,"알리",259
333,"각종",259
334,"실적",258
335,"현대",258
336,"최저가",258
337,"바탕",257
338,"물류센터",257
339,"국의",256
340,"스타트",255
341,"가치",253
342,"실제",252
343,"가입",252
344,"방법",252
345,"hankyung",252
346,"기념",252
347,"증정",251
348,"로켓",251
349,"항공",250
350,"포함",250
351,"대한항공",250
352,"직구",248
353,"홍보",248
354,"소상공인",246
355,"기사",244
356,"대응",244
357,"치열",243
358,"은행",242
359,"현지",241
360,"중국인",241
361,"연동",239
362,"국민",238
363,"목표",237
364,"방침",237
365,"콘텐츠를",237
366,"프라",236
367,"강조",235
368,"공동",233
369,"등장",232
370,"프로그램",232
371,"설치",231
372,"자리",230
373,"급증",229
374,"작년",228
375,"위메프",227
376,"우리",225
377,"내년",224
378,"구성",224
379,"발전",223
380,"우체국",222
381,"단계",221
382,"품목",220
383,"혁신",220
384,"nhn",220
385,"상반기",219
386,"자신",219
387,"업무",219
388,"가능성",218
389,"접속",218
390,"가입자",218
391,"yna",217
392,"확산",216
393,"바이",216
394,"옴니채널",216
395,"종합",214
396,"항공권",212
397,"수출",211
398,"연구",211
399,"기회",210
400,"그동안",210
401,"메시지",210
402,"으로",208
403,"캐시백",208
404,"공략",207
405,"화장품",207
406,"모바일로",207
407,"이날",206
408,"부담",206
409,"인공지능",205
410,"삼성",204
411,"무인",204
412,"asiae",204
413,"아마존은",204
414,"지속",203
415,"문자",203
416,"국가",202
417,"점포",201
418,"전문가",200
419,"이베",200
420,"기자",200
421,"반면",199
422,"의미",199
423,"노하우",199
424,"엔터테인먼트",198
425,"하려",198
426,"물품",198
427,"처리",198
428,"영상",198
429,"미디어",197
430,"버튼",197
431,"협약",197
432,"기대",196
433,"특징",196
434,"성장세",195
435,"점유율",195
436,"제시",195
437,"사례",195
438,"전달",195
439,"역할",192
440,"통계",192
441,"감소",190
442,"스포츠",190
443,"추석",190
444,"주력",189
445,"처음",188
446,"창출",188
447,"경영",188
448,"누적",188
449,"사업본부",188
450,"상거래",185
451,"생필품",184
452,"일부",184
453,"국제",184
454,"생각",184
455,"신청",184
456,"장점",184
457,"측은",183
458,"직원",183
459,"스타",181
460,"뷰티",181
461,"아시",180
462,"품질",180
463,"특화",180
464,"가구",180
465,"추첨",180
466,"내용",179
467,"네트워크",179
468,"시행",179
469,"까지",178
470,"수요",178
471,"자동차",178
472,"패턴",178
473,"멤버십",178
474,"유치",177
475,"호텔",177
476,"특송",177
477,"파악",175
478,"진화",175
479,"시너지",175
480,"체험",174
481,"의류",173
482,"최근",173
483,"물량",173
484,"세트",173
485,"대부분",172
486,"도움",172
487,"결정",172
488,"반영",172
489,"면세점",172
490,"관광",171
491,"선정",170
492,"하거",170
493,"특정",170
494,"공식",170
495,"가량",169
496,"클라우드",169
497,"큐레이션",169
498,"협업",167
499,"세상",167
500,"단순",167
501,"다음달",167
502,"fnnews",167
503,"정책",166
504,"군제",166
505,"양사",165
506,"대화",165
507,"속도",165
508,"이사",164
509,"지적",163
510,"블랙",163
511,"고민",163
512,"무이자",163
513,"보안",162
514,"카페24",161
515,"해결",161
516,"설립",161
517,"차량",161
518,"본사",160
519,"본격적",160
520,"접근",159
521,"신용카드",159
522,"화면",159
523,"입력",159
524,"파트너",159
525,"지급",158
526,"연휴",158
527,"유명",157
528,"상승",157
529,"개편",157
530,"손잡고",157
531,"롯데백화점",157
532,"안정",156
533,"불과",156
534,"핀테크",156
535,"섹션",156
536,"한경닷컴",155
537,"공간",155
538,"기본",155
539,"계약",154
540,"구매자",153
541,"연간",153
542,"접목",153
543,"경계",153
544,"네이버가",153
545,"유도",153
546,"번호",153
547,"뉴시스",152
548,"계정",152
549,"대행",152
550,"부사장",151
551,"친구",151
552,"영화",150
553,"부분",150
554,"하반기",149
555,"소통",149
556,"별도",149
557,"절감",149
558,"다운로드",149
559,"플러스",149
560,"pioneer",149
561,"역직",148
562,"오후",148
563,"습관",148
564,"공개",148
565,"텔레콤",148
566,"인식",146
567,"비슷",146
568,"우리나라",145
569,"아마존이",145
570,"추세",145
571,"인증",145
572,"슈퍼",145
573,"배송비",145
574,"연말",144
575,"아이템",144
576,"정부",143
577,"아마",143
578,"전화",143
579,"영기",143
580,"시도",143
581,"영업",143
582,"키워드",142
583,"튜브",142
584,"제주",142
585,"경품",142
586,"매체",141
587,"가전",140
588,"영향",140
589,"개국",140
590,"구현",140
591,"향상",139
592,"판단",139
593,"개최",139
594,"반응",139
595,"특별",138
596,"업무협약",138
597,"사장",138
598,"인터파크",138
599,"협회",137
600,"채팅",137
